movieId,rec_1_id,rec_1_clean_title,rec_2_id,rec_2_clean_title,rec_3_id,rec_3_clean_title,rec_4_id,rec_4_clean_title,rec_5_id,rec_5_clean_title,rec_6_id,rec_6_clean_title,rec_7_id,rec_7_clean_title,rec_8_id,rec_8_clean_title,rec_9_id,rec_9_clean_title,rec_10_id,rec_10_clean_title
356,356,Forrest Gump 1994,3147,Green Mile The 1999,2324,Life Is Beautiful La Vita  bella 1997,318,Shawshank Redemption The 1994,1704,Good Will Hunting 1997,110,Braveheart 1995,2028,Saving Private Ryan 1998,4995,Beautiful Mind A 2001,527,Schindlers List 1993,5989,Catch Me If You Can 2002
318,318,Shawshank Redemption The 1994,3147,Green Mile The 1999,6016,City of God Cidade de Deus 2002,48516,Departed The 2006,50,Usual Suspects The 1995,527,Schindlers List 1993,2959,Fight Club 1999,58559,Dark Knight The 2008,858,Godfather The 1972,2329,American History X 1998
296,296,Pulp Fiction 1994,1089,Reservoir Dogs 1992,55820,No Country for Old Men 2007,6016,City of God Cidade de Deus 2002,6874,Kill Bill Vol 1 2003,1213,Goodfellas 1990,1732,Big Lebowski The 1998,7438,Kill Bill Vol 2 2004,4011,Snatch 2000,1206,Clockwork Orange A 1971
593,593,Silence of the Lambs The 1991,47,Seven aka Se7en 1995,1258,Shining The 1980,1219,Psycho 1960,1221,Godfather Part II The 1974,296,Pulp Fiction 1994,50,Usual Suspects The 1995,1213,Goodfellas 1990,858,Godfather The 1972,111,Taxi Driver 1976
2571,2571,Matrix The 1999,79132,Inception 2010,2959,Fight Club 1999,7153,Lord of the Rings The Return of the King The 2003,44191,V for Vendetta 2006,4993,Lord of the Rings The Fellowship of the Ring The 2001,109487,Interstellar 2014,32587,Sin City 2005,5952,Lord of the Rings The Two Towers The 2002,58559,Dark Knight The 2008
260,260,Star Wars Episode IV  A New Hope 1977,1196,Star Wars Episode V  The Empire Strikes Back 1980,1210,Star Wars Episode VI  Return of the Jedi 1983,1198,Raiders of the Lost Ark Indiana Jones and the Raiders of the Lost Ark 1981,1291,Indiana Jones and the Last Crusade 1989,1200,Aliens 1986,541,Blade Runner 1982,1197,Princess Bride The 1987,1214,Alien 1979,7153,Lord of the Rings The Return of the King The 2003
480,480,Jurassic Park 1993,780,Independence Day aka ID4 1996,589,Terminator 2 Judgment Day 1991,1291,Indiana Jones and the Last Crusade 1989,364,Lion King The 1994,2115,Indiana Jones and the Temple of Doom 1984,1387,Jaws 1975,1200,Aliens 1986,2011,Back to the Future Part II 1989,1270,Back to the Future 1985
527,527,Schindlers List 1993,5995,Pianist The 2002,2324,Life Is Beautiful La Vita  bella 1997,2028,Saving Private Ryan 1998,1221,Godfather Part II The 1974,318,Shawshank Redemption The 1994,858,Godfather The 1972,1203,12 Angry Men 1957,923,Citizen Kane 1941,912,Casablanca 1942
110,110,Braveheart 1995,2028,Saving Private Ryan 1998,3578,Gladiator 2000,590,Dances with Wolves 1990,356,Forrest Gump 1994,527,Schindlers List 1993,318,Shawshank Redemption The 1994,3147,Green Mile The 1999,1610,Hunt for Red October The 1990,589,Terminator 2 Judgment Day 1991
2959,2959,Fight Club 1999,27773,Old Boy 2003,6016,City of God Cidade de Deus 2002,4011,Snatch 2000,3949,Requiem for a Dream 2000,4878,Donnie Darko 2001,2329,American History X 1998,32587,Sin City 2005,48516,Departed The 2006,68157,Inglourious Basterds 2009
589,589,Terminator 2 Judgment Day 1991,1240,Terminator The 1984,1200,Aliens 1986,3527,Predator 1987,1036,Die Hard 1988,1214,Alien 1979,2916,Total Recall 1990,1196,Star Wars Episode V  The Empire Strikes Back 1980,1527,Fifth Element The 1997,1291,Indiana Jones and the Last Crusade 1989
1196,1196,Star Wars Episode V  The Empire Strikes Back 1980,260,Star Wars Episode IV  A New Hope 1977,1210,Star Wars Episode VI  Return of the Jedi 1983,1198,Raiders of the Lost Ark Indiana Jones and the Raiders of the Lost Ark 1981,1200,Aliens 1986,1291,Indiana Jones and the Last Crusade 1989,541,Blade Runner 1982,1197,Princess Bride The 1987,7153,Lord of the Rings The Return of the King The 2003,1214,Alien 1979
1,1,Toy Story 1995,3114,Toy Story 2 1999,78499,Toy Story 3 2010,4886,Monsters Inc 2001,6377,Finding Nemo 2003,8961,Incredibles The 2004,745,Wallace  Gromit A Close Shave 1995,1148,Wallace  Gromit The Wrong Trousers 1993,2355,Bugs Life A 1998,50872,Ratatouille 2007
